Link_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1220010904,19,19,29,19,19,19,24,24,24,24,24,24,24,24,24,24,19,24,24,24,24,24,25,24
1220010903,32,36,15,13,14,14,13,13,13,13,14,13,14,19,13,13,13,13,13,13,13,18,26,21
1220010902,14,33,33,33,33,33,14,14,14,14,14,14,14,19,14,14,14,30,14,14,14,18,26,21
1220010805,19,19,19,19,19,19,19,19,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
1220010804,28,28,28,28,28,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
1220010803,16,25,25,25,25,25,25,25,25,25,25,32,32,32,32,36,14,36,14,14,36,36,36,36
1220010802,23,23,23,23,23,23,23,17,17,17,17,26,26,26,26,26,26,26,26,26,26,26,26,26
1220010700,49,50.200000000000003,47.700000000000003,48.5,47.299999999999997,46,48.700000000000003,48,49,44.5,46.700000000000003,46,46.700000000000003,44.299999999999997,45,45.700000000000003,46.299999999999997,45.299999999999997,46.700000000000003,49,47,47.700000000000003,45.299999999999997,46
1220010600,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
1220010500,19.300000000000001,19,19,19,20,19,19,19,19.5,19,19,19,19,19,19,20,19,19,19,19,19,19,19,19
1220010400,22,22,20.5,20.5,20.5,22,21,21,21,20,20,20,21,19.5,20,20,20,21.5,19.5,19.5,20.5,20.5,20,19.5
1220010308,28,29,26,14,21,25,27,38,29,24,16,24.5,26,24,25,25,25,25,29,34,35,33,24,24
1220010307,54,54,58,58,58,58,58,58,58,56,54,58,58,54,58.5,58,58,58,56,57,57,58,58,58
1220010306,57,57.5,60,60,60,60,60,60,60,53,54,60,60,60,63.5,60,60,60,59,59.5,59.5,60,60,60
1220010305,49.5,49.5,49.5,49,49,49.5,49.5,49.5,49.5,41,20,24,27,23,49.5,49.5,49.5,49.5,49.5,49.5,48.700000000000003,49.5,49.5,49.5
